Experiment_Type,Model_Type,Concurrency,Load_Type,Round,Duration_Sec,RPS,Avg_Delay_Ms,P95_Delay_Ms,Max_Memory_MB,Success_Rate
Exp1_Concurrency,Process,8,Pure_IO,1,15.37,214.75,37,44,100.12,100.00
Exp1_Concurrency,Thread,8,Pure_IO,1,0.52,6401.42,1,2,20.38,100.00
Exp1_Concurrency,Coroutine,8,Pure_IO,1,0.42,7824.14,0,1,21.27,100.00
Exp1_Concurrency,Process,8,Pure_IO,2,15.23,216.65,36,43,100.25,100.00
Exp1_Concurrency,Thread,8,Pure_IO,2,0.45,7277.08,1,1,19.63,100.00
Exp1_Concurrency,Coroutine,8,Pure_IO,2,0.33,10030.45,0,1,20.47,100.00
Exp1_Concurrency,Process,8,Pure_IO,3,15.17,217.51,36,42,100.00,100.00
Exp1_Concurrency,Thread,8,Pure_IO,3,0.47,7065.80,1,1,20.73,100.00
Exp1_Concurrency,Coroutine,8,Pure_IO,3,0.36,9078.89,0,1,19.86,100.00
Exp1_Concurrency,Process,16,Pure_IO,1,10.39,317.56,50,59,197.50,100.00
Exp1_Concurrency,Thread,16,Pure_IO,1,0.37,8893.01,1,2,34.97,100.00
Exp1_Concurrency,Coroutine,16,Pure_IO,1,0.27,12268.94,1,2,28.13,100.00
Exp1_Concurrency,Process,16,Pure_IO,2,10.48,314.93,50,59,197.76,100.00
Exp1_Concurrency,Thread,16,Pure_IO,2,0.39,8395.86,1,3,35.18,100.00
Exp1_Concurrency,Coroutine,16,Pure_IO,2,0.22,15175.62,1,1,28.73,100.00
Exp1_Concurrency,Process,16,Pure_IO,3,10.54,312.98,50,61,198.00,100.00
Exp1_Concurrency,Thread,16,Pure_IO,3,0.37,8823.23,1,2,36.45,100.00
Exp1_Concurrency,Coroutine,16,Pure_IO,3,0.24,13716.37,1,2,29.55,100.00
Exp1_Concurrency,Process,32,Pure_IO,1,10.27,321.17,99,145,394.98,100.00
Exp1_Concurrency,Thread,32,Pure_IO,1,0.46,7191.94,4,7,61.11,100.00
Exp1_Concurrency,Coroutine,32,Pure_IO,1,0.24,13993.82,2,4,28.67,100.00
Exp1_Concurrency,Process,32,Pure_IO,2,10.48,314.77,101,148,394.47,100.00
Exp1_Concurrency,Thread,32,Pure_IO,2,0.46,7125.69,4,7,61.72,100.00
Exp1_Concurrency,Coroutine,32,Pure_IO,2,0.25,13077.06,2,4,30.11,100.00
Exp1_Concurrency,Process,32,Pure_IO,3,10.68,308.85,103,149,394.53,100.00
Exp1_Concurrency,Thread,32,Pure_IO,3,0.48,6888.73,4,8,62.16,100.00
Exp1_Concurrency,Coroutine,32,Pure_IO,3,0.24,13545.09,2,4,28.25,100.00
Exp1_Concurrency,Process,64,Pure_IO,1,10.66,309.43,205,269,794.76,100.00
Exp1_Concurrency,Thread,64,Pure_IO,1,0.53,6282.32,9,20,101.40,100.00
Exp1_Concurrency,Coroutine,64,Pure_IO,1,0.28,11884.06,5,9,36.90,100.00
Exp1_Concurrency,Process,64,Pure_IO,2,10.58,312.02,203,270,794.52,100.00
Exp1_Concurrency,Thread,64,Pure_IO,2,0.55,5958.80,10,22,101.71,100.00
Exp1_Concurrency,Coroutine,64,Pure_IO,2,0.29,11494.54,5,10,39.68,100.00
Exp1_Concurrency,Process,64,Pure_IO,3,10.76,306.58,207,274,793.95,100.00
Exp1_Concurrency,Thread,64,Pure_IO,3,0.62,5348.33,11,24,103.09,100.00
Exp1_Concurrency,Coroutine,64,Pure_IO,3,0.30,10866.62,5,11,37.47,100.00
Exp1_Concurrency,Process,128,Pure_IO,1,11.54,285.96,439,598,1587.58,100.00
Exp1_Concurrency,Thread,128,Pure_IO,1,0.66,4992.74,24,53,143.89,100.00
Exp1_Concurrency,Coroutine,128,Pure_IO,1,0.36,9188.41,13,25,58.58,100.00
Exp1_Concurrency,Process,128,Pure_IO,2,10.85,304.18,404,520,1589.65,100.00
Exp1_Concurrency,Thread,128,Pure_IO,2,0.58,5694.33,21,48,151.64,100.00
Exp1_Concurrency,Coroutine,128,Pure_IO,2,0.35,9305.55,13,25,54.88,100.00
Exp1_Concurrency,Process,128,Pure_IO,3,10.85,304.25,411,523,1587.29,100.00
Exp1_Concurrency,Thread,128,Pure_IO,3,0.56,5881.51,20,45,147.54,100.00
Exp1_Concurrency,Coroutine,128,Pure_IO,3,0.31,10552.23,11,20,55.47,100.00
Exp1_Concurrency,Process,256,Pure_IO,1,10.81,305.28,759,1101,3170.74,100.00
Exp1_Concurrency,Thread,256,Pure_IO,1,0.72,4577.89,52,120,178.64,100.00
Exp1_Concurrency,Coroutine,256,Pure_IO,1,0.34,9575.06,25,48,93.22,100.00
Exp1_Concurrency,Process,256,Pure_IO,2,10.60,311.44,683,1036,3170.76,100.00
Exp1_Concurrency,Thread,256,Pure_IO,2,0.67,4957.34,47,109,179.21,100.00
Exp1_Concurrency,Coroutine,256,Pure_IO,2,0.46,7168.97,34,62,90.90,100.00
Exp1_Concurrency,Process,256,Pure_IO,3,10.73,307.69,707,994,3170.50,100.00
Exp1_Concurrency,Thread,256,Pure_IO,3,0.68,4831.97,49,117,179.53,100.00
Exp1_Concurrency,Coroutine,256,Pure_IO,3,0.36,9081.70,26,52,94.83,100.00
Exp1_Concurrency,Process,512,Pure_IO,1,10.85,304.09,885,1551,6077.88,100.00
Exp1_Concurrency,Thread,512,Pure_IO,1,0.87,3809.06,103,234,241.25,100.00
Exp1_Concurrency,Coroutine,512,Pure_IO,1,0.43,7656.72,62,120,162.10,100.00
Exp1_Concurrency,Process,512,Pure_IO,2,11.16,295.81,1085,2236,6324.04,100.00
Exp1_Concurrency,Thread,512,Pure_IO,2,0.92,3606.29,116,254,246.71,100.00
Exp1_Concurrency,Coroutine,512,Pure_IO,2,0.42,7910.24,57,109,175.11,100.00
Exp1_Concurrency,Process,512,Pure_IO,3,10.70,308.50,729,1203,4794.48,100.00
Exp1_Concurrency,Thread,512,Pure_IO,3,0.82,4046.30,102,220,251.05,100.00
Exp1_Concurrency,Coroutine,512,Pure_IO,3,0.42,7931.06,59,113,162.28,100.00
Exp1_Concurrency,Process,1024,Pure_IO,1,10.72,307.75,834,1339,6545.75,100.00
Exp1_Concurrency,Thread,1024,Pure_IO,1,1.69,1958.30,296,576,363.32,100.00
Exp1_Concurrency,Coroutine,1024,Pure_IO,1,0.49,6797.22,133,262,255.95,100.00
Exp1_Concurrency,Process,1024,Pure_IO,2,11.91,277.01,1279,3039,9420.92,100.00
Exp1_Concurrency,Thread,1024,Pure_IO,2,1.79,1840.65,325,641,351.06,100.00
Exp1_Concurrency,Coroutine,1024,Pure_IO,2,0.61,5380.66,140,294,234.62,100.00
Exp1_Concurrency,Process,1024,Pure_IO,3,10.99,300.37,1005,2514,8204.39,100.00
Exp1_Concurrency,Thread,1024,Pure_IO,3,1.78,1855.28,306,646,349.14,100.00
Exp1_Concurrency,Coroutine,1024,Pure_IO,3,0.54,6110.61,151,335,258.07,100.00
Exp1_Concurrency,Process,2048,Pure_IO,1,10.86,303.78,702,1207,4900.12,100.00
Exp1_Concurrency,Thread,2048,Pure_IO,1,5.66,583.21,1415,3413,487.76,100.00
Exp1_Concurrency,Coroutine,2048,Pure_IO,1,0.94,3500.36,302,556,297.67,100.00
Exp1_Concurrency,Process,2048,Pure_IO,2,11.80,279.58,1550,4184,11185.58,100.00
Exp1_Concurrency,Thread,2048,Pure_IO,2,6.23,529.80,1649,3562,486.22,100.00
