院校名称,官方网站
北京大学,https://www.pku.edu.cn/
清华大学,https://www.tsinghua.edu.cn/
中国人民大学,https://www.ruc.edu.cn/
北京师范大学,https://www.bnu.edu.cn/
北京航空航天大学,https://www.buaa.edu.cn/
北京理工大学,https://www.bit.edu.cn/
中国农业大学,https://www.cau.edu.cn/
中央民族大学,https://www.muc.edu.cn/
中国科学院大学,https://www.ucas.ac.cn/
复旦大学,https://www.fudan.edu.cn/
上海交通大学,https://www.sjtu.edu.cn/
同济大学,https://www.tongji.edu.cn/
华东师范大学,https://www.ecnu.edu.cn/
上海财经大学,https://www.shufe.edu.cn/
南开大学,https://www.nankai.edu.cn/
天津大学,https://www.tju.edu.cn/
重庆大学,https://www.cqu.edu.cn/
南京大学,https://www.nju.edu.cn/
东南大学,https://www.seu.edu.cn/
南京航空航天大学,https://www.nuaa.edu.cn/
浙江大学,https://www.zju.edu.cn/
中国科学技术大学,https://www.ustc.edu.cn/
武汉大学,https://www.whu.edu.cn/
华中科技大学,https://www.hust.edu.cn/
中南大学,https://www.csu.edu.cn/
湖南大学,https://www.hnu.edu.cn/
中山大学,https://www.sysu.edu.cn/
华南理工大学,https://www.scut.edu.cn/
四川大学,https://www.scu.edu.cn/
电子科技大学,https://www.uestc.edu.cn/
西安交通大学,https://www.xjtu.edu.cn/
西北工业大学,https://www.nwpu.edu.cn/
兰州大学,https://www.lzu.edu.cn/
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
